,Target in Reaction,Target,Cycle Number,Pseudo Target dRn,Target in Reaction dRn,CrossTalk %,Multiplex Combination
145,ABY-ENTEROB,BRAF700-KLEB,26.0,-564.674890966685,37600.3711626838,-1.501780098189808,Multiplex3
146,ABY-ENTEROB,BRAF700-KLEB,27.0,158.05338731284428,67971.71642922793,0.2325281685028644,Multiplex3
147,ABY-ENTEROB,BRAF700-KLEB,28.0,1202.7416265298734,111477.93669577205,1.0789055325021,Multiplex3
148,ABY-ENTEROB,BRAF700-KLEB,29.0,1743.0057934812771,166017.9382123162,1.049890037335719,Multiplex3
149,ABY-ENTEROB,BRAF700-KLEB,30.0,2422.7731342608063,225937.81472886034,1.0723185656939664,Multiplex3
150,ABY-ENTEROB,BRAF700-KLEB,31.0,2822.1416713293984,283351.1912454044,0.9959872266374916,Multiplex3
151,ABY-ENTEROB,BRAF700-KLEB,32.0,3320.8472445308025,331140.91151194857,1.0028501852483958,Multiplex3
152,ABY-ENTEROB,BRAF700-KLEB,33.0,3779.710166365019,367906.56927849265,1.0273559870859246,Multiplex3
153,ABY-ENTEROB,BRAF700-KLEB,34.0,3876.466764957048,393488.03954503674,0.9851549158747342,Multiplex3
154,ABY-ENTEROB,BRAF700-KLEB,35.0,3902.3018547600154,409742.9473115809,0.9523780410044709,Multiplex3
155,ABY-ENTEROB,BRAF700-KLEB,36.0,3915.942730695794,420579.323828125,0.9310830344803381,Multiplex3
156,ABY-ENTEROB,BRAF700-KLEB,37.0,4061.331287295636,426639.54409466917,0.9519350335688636,Multiplex3
157,ABY-ENTEROB,BRAF700-KLEB,38.0,4117.4498243642265,431060.2643612132,0.9551912260959293,Multiplex3
158,ABY-ENTEROB,BRAF700-KLEB,39.0,4459.098634870319,434652.04712775734,1.025900755405773,Multiplex3
159,ABY-ENTEROB,BRAF700-KLEB,40.0,4558.422494204536,437797.0486443015,1.0412181873588036,Multiplex3
160,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,1.0,584.1929436760981,-3052.916750919094,-19.135567437278606,Multiplex3
161,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,2.0,678.8604241448481,-2821.2277343750084,-24.062588633782777,Multiplex3
162,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,3.0,522.8052483635981,-2081.6324678308647,-25.115156322882488,Multiplex3
163,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,4.0,368.0044671135982,-769.0840762867792,-47.84970570322603,Multiplex3
164,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,5.0,310.3633538323482,-543.0669347426356,-57.150110599061286,Multiplex3
165,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,6.0,336.3565178948482,-239.940418198521,-140.1833506919017,Multiplex3
166,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,7.0,498.8235589104732,993.0142233455936,50.23327432610905,Multiplex3
167,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,8.0,385.8977776604732,1294.6719898897081,29.80660589508447,Multiplex3
168,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,9.0,298.3550530510982,1087.0797564338227,27.445553215879514,Multiplex3
169,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,10.0,437.9314690667232,962.9406479779373,45.47855259681145,Multiplex3
170,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,11.0,438.2312737542232,1099.8952895220518,39.84299941357619,Multiplex3
171,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,12.0,489.8443108635982,475.6780560661664,102.97811820763523,Multiplex3
172,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,13.0,456.4187737542232,150.91394761031006,302.43644207942106,Multiplex3
173,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,14.0,557.9422112542231,53.05608915439552,1051.608251091759,Multiplex3
174,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,15.0,501.7757073479732,108.08885569853919,464.2252007435718,Multiplex3
175,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,16.0,391.3067132073482,-31.128377757375347,-1257.0739029747049,Multiplex3
176,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,17.0,374.6258050042232,-1208.4393612132317,-31.000794663632252,Multiplex3
177,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,18.0,315.3301507073482,-1352.047219669117,-23.322421445052644,Multiplex3
178,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,19.0,392.4668694573482,-1238.1394531250025,-31.698115140970696,Multiplex3
179,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,20.0,305.8794671135982,-705.059811580888,-43.38347783966782,Multiplex3
180,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,21.0,261.8404046135982,782.2385799632266,33.47321537450984,Multiplex3
181,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,22.0,381.1714593010982,2187.115096507341,17.428047564108557,Multiplex3
182,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,23.0,100.9632073479732,5259.022863051485,1.9198092493058778,Multiplex3
183,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,24.0,-26.468677417651804,10184.72750459557,-0.2598859655863013,Multiplex3
184,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,25.0,90.4883538323482,20213.557146139712,0.4476617013924698,Multiplex3
185,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,26.0,42.795971019848196,37600.3711626838,0.11381794832472486,Multiplex3
186,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,27.0,-300.4342535895268,67971.71642922793,-0.44199892156958925,Multiplex3
187,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,28.0,-713.5856207770269,111477.93669577205,-0.6401137677354326,Multiplex3
188,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,29.0,-885.2789801520269,166017.9382123162,-0.5332429674074531,Multiplex3
189,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,30.0,-907.6534918707769,225937.81472886034,-0.4017271269796153,Multiplex3
190,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,31.0,-959.0914801520269,283351.1912454044,-0.3384815415585736,Multiplex3
191,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,32.0,-870.2411383551519,331140.91151194857,-0.2628008524774961,Multiplex3
192,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,33.0,-754.9196051520269,367906.56927849265,-0.20519329313214266,Multiplex3
193,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,34.0,-395.8309821051518,393488.03954503674,-0.10059542916801845,Multiplex3
194,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,35.0,-286.1083258551518,409742.9473115809,-0.069826296640949,Multiplex3
195,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,36.0,-378.1620367926518,420579.323828125,-0.08991455722326294,Multiplex3
196,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,37.0,-650.3424567145269,426639.54409466917,-0.1524337032786204,Multiplex3
197,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,38.0,-691.6925543707769,431060.2643612132,-0.1604630747850985,Multiplex3
198,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,39.0,-439.8085211676518,434652.04712775734,-0.10118634527870492,Multiplex3
199,ABY-ENTEROB,DYE3.5_AF647-ENT.FAECALIS,40.0,-440.4315680426518,437797.0486443015,-0.10060176728155397,Multiplex3
200,ABY-ENTEROB,FAM-XENO,1.0,1032.724563186233,-3052.916750919094,-33.82747213383158,Multiplex3
201,ABY-ENTEROB,FAM-XENO,2.0,925.3097682643581,-2821.2277343750084,-32.79812391569813,Multiplex3
202,ABY-ENTEROB,FAM-XENO,3.0,804.8346706081081,-2081.6324678308647,-38.66362977354857,Multiplex3
203,ABY-ENTEROB,FAM-XENO,4.0,907.0080104518581,-769.0840762867792,-117.93353138072895,Multiplex3
204,ABY-ENTEROB,FAM-XENO,5.0,926.2843776393581,-543.0669347426356,-170.56541622780492,Multiplex3
205,ABY-ENTEROB,FAM-XENO,6.0,713.5846706081081,-239.940418198521,-297.40077806220427,Multiplex3
206,ABY-ENTEROB,FAM-XENO,7.0,599.4657741237331,993.0142233455936,60.36829685118258,Multiplex3
207,ABY-ENTEROB,FAM-XENO,8.0,545.7565456081081,1294.6719898897081,42.15403977764288,Multiplex3
208,ABY-ENTEROB,FAM-XENO,9.0,388.51142842060807,1087.0797564338227,35.738999472782396,Multiplex3
209,ABY-ENTEROB,FAM-XENO,10.0,350.69721943623307,962.9406479779373,36.41940135902002,Multiplex3
210,ABY-ENTEROB,FAM-XENO,11.0,592.6923366237331,1099.8952895220518,53.88625101588366,Multiplex3
211,ABY-ENTEROB,FAM-XENO,12.0,423.08760029560807,475.6780560661664,88.9441072381016,Multiplex3
212,ABY-ENTEROB,FAM-XENO,13.0,290.53877217060807,150.91394761031006,192.51949655497526,Multiplex3
213,ABY-ENTEROB,FAM-XENO,14.0,301.83686787373307,53.05608915439552,568.9014638741553,Multiplex3
214,ABY-ENTEROB,FAM-XENO,15.0,162.65449482685807,108.08885569853919,150.48220630672876,Multiplex3
215,ABY-ENTEROB,FAM-XENO,16.0,-134.02787822001693,-31.128377757375347,430.56493102426856,Multiplex3
216,ABY-ENTEROB,FAM-XENO,17.0,-207.07719462626693,-1208.4393612132317,17.13591937442095,Multiplex3
217,ABY-ENTEROB,FAM-XENO,18.0,-1.9316868137669303,-1352.047219669117,0.14287125373029996,Multiplex3
218,ABY-ENTEROB,FAM-XENO,19.0,-40.22050517314193,-1238.1394531250025,3.248463254411882,Multiplex3
219,ABY-ENTEROB,FAM-XENO,20.0,-283.95439189189193,-705.059811580888,40.27380191408276,Multiplex3
